0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.0 0.0 0.0 0.0
0.1 0.1 0.1 0.1 0.1
0.1 0.2 0.2 0.2 0.2
0.1 0.3 0.3 0.3 0.3
0.1 0.4 0.4 0.4 0.4
0.1 0.5 0.5 0.5 0.5
0.1 0.6 0.6 0.6 0.6
0.1 0.7 0.7 0.7 0.7
0.1 0.8 0.8 0.8 0.8
0.1 0.9 0.9 0.9 0.9
0.1 1.0 1.0 1.0 1.0
0.1 1.1 1.1 1.1 1.1
0.1 1.2 1.2 1.2 1.2
0.1 1.3 1.3 1.3 1.3
0.1 1.4 1.4 1.4 1.4
0.1 1.5 1.5 1.5 1.5
0.1 1.6 1.6 1.6 1.6
0.1 1.7 1.7 1.7 1.7
0.1 3.0 1.8 1.8 1.8
0.1 3.0 1.9 1.9 1.9
0.1 3.0 2.0 2.0 2.0
0.1 3.0 2.1 2.1 2.1
0.1 3.0 2.2 2.2 2.2
0.1 3.0 2.3 2.3 2.3
0.1 3.0 2.4 2.4 2.4
0.1 3.0 2.5 2.5 2.5
0.1 3.0 2.6 2.6 2.6
0.1 3.0 3.0 2.7 2.7
0.1 3.0 3.0 2.8 2.8
0.1 3.0 3.0 3.0 3.0
0.1 3.0 3.0 3.0 3.0
0.1 3.0 3.0 3.0 3.0
0.1 3.0 3.0 3.0 3.0
0.1 3.0 3.0 3.0 3.0
0.1 3.0 3.0 3.0 3.0
0.1 3.0 3.0 3.0 3.0
0.1 3.0 3.0 3.0 3.0
0.1 3.0 3.0 3.0 3.0
0.1 3.0 3.0 3.0 3.0
0.1 3.0 3.0 3.0 3.0
